repetitions,op1,op2,dtype,dist,seed,result
1000,(x + y) + z,x + (y + z),float64,uniform01,0,0.157000
1000,(x + y) + z,x + (y + z),float64,uniform01,1,0.171000
1000,(x + y) + z,x + (y + z),float32,wide,0,0.208000
1000,(x + y) + z,x + (y + z),float32,wide,1,0.218000
1000,(x + y) + z,x + (y + z),decimal50,uniform01,0,0.000000
1000,(x + y) + z,x + (y + z),decimal50,uniform01,1,0.000000
1000,(x + y) + z,x + (y + z),decimal50,uniform_signed,0,0.000000
1000,(x + y) + z,x + (y + z),decimal50,uniform_signed,1,0.000000
1000,(x + y) + z,x + (y + z),decimal50,wide,0,0.000000
1000,(x + y) + z,x + (y + z),decimal50,wide,1,0.001000
10000,x + y,y + x,float64,uniform01,0,0.000000
10000,x + y,y + x,float64,uniform01,1,0.000000
1000,(x + y) + z,x + (y + z),float64,uniform_signed,0,0.000000
10000,x + y,y + x,float64,uniform_signed,0,0.000000
10000,x + y,y + x,float64,uniform_signed,1,0.000000
10000,x + y,y + x,float64,wide,0,0.000000
10000,x + y,y + x,float64,wide,1,0.000000
10000,x + y,y + x,float32,uniform01,0,0.000000
10000,x + y,y + x,float32,uniform01,1,0.000000
10000,x + y,y + x,float32,uniform_signed,0,0.000000
10000,x + y,y + x,float32,uniform_signed,1,0.000000
10000,x + y,y + x,float32,wide,0,0.090800
10000,x + y,y + x,float32,wide,1,0.091400
1000,(x + y) + z,x + (y + z),float64,uniform_signed,1,0.000000
10000,x + y,y + x,decimal50,uniform01,0,0.000000
10000,x + y,y + x,decimal50,uniform01,1,0.000000
10000,x + y,y + x,decimal50,uniform_signed,0,0.000000
10000,x + y,y + x,decimal50,uniform_signed,1,0.000000
10000,x + y,y + x,decimal50,wide,0,0.000000
10000,x + y,y + x,decimal50,wide,1,0.000000
5000,(x * y) * z,x * (y * z),float64,uniform01,0,0.344400
5000,(x * y) * z,x * (y * z),float64,uniform01,1,0.347600
5000,(x * y) * z,x * (y * z),float64,uniform_signed,0,0.347000
5000,(x * y) * z,x * (y * z),float64,uniform_signed,1,0.343800
1000,(x + y) + z,x + (y + z),float64,wide,0,0.000000
5000,(x * y) * z,x * (y * z),float64,wide,0,0.334400
5000,(x * y) * z,x * (y * z),float64,wide,1,0.347600
5000,(x * y) * z,x * (y * z),float32,uniform01,0,0.000000
5000,(x * y) * z,x * (y * z),float32,uniform01,1,0.000000
5000,(x * y) * z,x * (y * z),float32,uniform_signed,0,0.000000
5000,(x * y) * z,x * (y * z),float32,uniform_signed,1,0.000000
5000,(x * y) * z,x * (y * z),float32,wide,0,0.632200
5000,(x * y) * z,x * (y * z),float32,wide,1,0.630000
5000,(x * y) * z,x * (y * z),decimal50,uniform01,0,0.000000
5000,(x * y) * z,x * (y * z),decimal50,uniform01,1,0.000000
1000,(x + y) + z,x + (y + z),float64,wide,1,0.003000
5000,(x * y) * z,x * (y * z),decimal50,uniform_signed,0,0.000000
5000,(x * y) * z,x * (y * z),decimal50,uniform_signed,1,0.000000
5000,(x * y) * z,x * (y * z),decimal50,wide,0,0.000000
5000,(x * y) * z,x * (y * z),decimal50,wide,1,0.000000
1000,(x + y) + z,x + (y + z),float32,uniform01,0,0.000000
1000,(x + y) + z,x + (y + z),float32,uniform01,1,0.000000
1000,(x + y) + z,x + (y + z),float32,uniform_signed,0,0.000000
1000,(x + y) + z,x + (y + z),float32,uniform_signed,1,0.000000
